"","Stations_id","Stationsname","geograph.Breite","geograph.Laenge","Stationshoehe","Naturraumgruppe","Naturraum","Datum.Stationsaufloesung","Bundesland","eor"
"35",1358,"Fichtelberg                                ",50.4283,12.9535,1213,"Erzgebirge                                                                      ","Oberes Westerzgebirge                                                           ","                       ","Sachsen                                 ","eor"
"36",1412,"Frankenstein                               ",50.8969,13.2205,400,"Erzgebirge                                                                      ","Unteres Osterzgebirge                                                           ","                       ","Sachsen                                 ","eor"
"37",1468,"Freudenstadt                               ",48.4537,8.4091,797,"Schwarzwald                                                                     ","Grindenschwarzwald und Enzhöhen                                                 ","31.12.2012             ","Baden-Württemberg                       ","eor"
"38",1532,"Gadebusch-Ganzow                           ",53.6865,11.0608,55,"Mecklenburgische Seenplatte                                                     ","Westmecklenburgisches Seenhügelland                                             ","                       ","Mecklenburg-Vorpommern                  ","eor"
"39",1544,"Gardelegen                                 ",52.5129,11.3941,47,"Altmark                                                                         ","Stendaler Land                                                                  ","                       ","Sachsen-Anhalt                          ","eor"
"40",1550,"Garmisch-Partenkirchen                     ",47.4831,11.0623,719,"Schwäbisch-Oberbayerische Voralpen                                              ","Niederwerdenfelser Land                                                         ","                       ","Bayern                                  ","eor"
"41",1580,"Geisenheim                                 ",49.9859,7.9549,110,"Rhein-Main-Tiefland                                                             ","Rheingau                                                                        ","                       ","Hessen                                  ","eor"
"42",1612,"Gera-Leumnitz                              ",50.8813,12.1289,311,"Thüringer Becken und Randplatten Nrg 47                                         ","Saale-Elster-Sandsteinplatte                                                    ","                       ","Thüringen                               ","eor"
"43",1639,"Gießen/Wettenberg                          ",50.6017,8.6439,203,"Westhessiches Bergland                                                          ","Vorderer Vogelsberg                                                             ","31.08.2008             ","Hessen                                  ","eor"
"44",1651,"Glashütte                                  ",50.8499,13.7629,368,"Erzgebirge                                                                      ","Unteres Osterzgebirge                                                           ","                       ","Sachsen                                 ","eor"
"45",1684,"Görlitz                                    ",51.1622,14.9506,238,"Oberlausitz                                                                     ","Neißegebiet                                                                     ","                       ","Sachsen                                 ","eor"
"46",1691,"Göttingen                                  ",51.5003,9.9506,167,"Weser-Leinebergland                                                             ","Leine-Ilme-Senke                                                                ","                       ","Niedersachsen                           ","eor"
"47",1757,"Greifswald                                 ",54.0967,13.4056,2,"Nordostmecklenburgisches Flachland                                              ","Nordmecklenburgische Lehmplatten I                                              ","                       ","Mecklenburg-Vorpommern                  ","eor"
"48",1766,"Münster/Osnabrück                          ",52.1346,7.6964,48,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","                       ","Nordrhein-Westfalen                     ","eor"
"49",1780,"Burgstein-Grobau                           ",50.4316,11.9443,570,"Vogtland                                                                        ","Mittelvogtländisches Kuppenland                                                 ","                       ","Sachsen                                 ","eor"
"50",1820,"Großbockedra                               ",50.85,11.6667,265,"Thüringer Becken und Randplatten Nrg 47                                         ","Saale-Elster-Sandsteinplatte                                                    ","31.12.2014             ","Thüringen                               ","eor"
"51",1832,"Großer Arber                               ",49.113,13.1342,1436,"Oberpfälzer und Bayerischer Wald                                                ","Hinterer Bayerischer Wald                                                       ","                       ","Bayern                                  ","eor"
"52",1957,"Halle-Kröllwitz                            ",51.5138,11.9499,93,"Mitteldeutsches Schwarzerdegebiet                                               ","Östliches Harzvorland                                                           ","31.12.2010             ","Sachsen-Anhalt                          ","eor"
"53",2034,"Hartmannsdorf, Kreis Saale                 ",50.9582,11.9766,200,"Thüringer Becken und Randplatten Nrg 47                                         ","Saale-Elster-Sandsteinplatte                                                    ","                       ","Thüringen                               ","eor"
"54",2115,"Helgoland                                  ",54.175,7.892,4,"Schleswig-Holsteinische Marschen (und Nordseeinseln)                            ","Helgoland                                                                       ","                       ","Schleswig-Holstein                      ","eor"
"55",2163,"Herrmannsacker                             ",51.5448,10.8748,315,"Thüringer Becken und Randplatten Nrg 48                                         ","Südharzer Zechsteingürtel                                                       ","31.12.2013             ","Thüringen                               ","eor"
"56",2228,"Hinterzarten                               ",47.8983,8.1055,883,"Schwarzwald                                                                     ","Südöstlicher Schwarzwald                                                        ","                       ","Baden-Württemberg                       ","eor"
"57",2261,"Hof                                        ",50.3122,11.8761,565,"Vogtland                                                                        ","Mittelvogtländisches Kuppenland                                                 ","31.12.1994             ","Bayern                                  ","eor"
"58",2290,"Hohenpeißenberg                            ",47.8009,11.0109,977,"Voralpines Hügel-und Moorland                                                   ","Ammer-Loisach-Hügelland                                                         ","                       ","Bayern                                  ","eor"
"59",2354,"Hoyerswerda (Ph)                           ",51.4379,14.2426,118,"Oberlausitzer Heideland                                                         ","Königsbrück-Ruhlander Heiden                                                    ","                       ","Sachsen                                 ","eor"
"60",2429,"Itzehoe                                    ",53.9897,9.5696,21,"Schleswig-Holsteinische Geest                                                   ","Heide-Itzehoher Geest                                                           ","31.12.2008             ","Schleswig-Holstein                      ","eor"
"61",2468,"Jückelberg-Flemmingen                      ",50.9352,12.6206,235,"Sächsisches Hügelland (einschließlich Leipziger Land)                           ","Altenburg-Zeitzer Lößgebiet                                                     ","31.12.2013             ","Thüringen                               ","eor"
"62",2483,"Kahler Asten                               ",51.1803,8.4891,839,"Bergisch-Sauerländisches Gebirge                                                ","Hochsauerland (Rothaargebirge)                                                  ","                       ","Nordrhein-Westfalen                     ","eor"
"63",2514,"Kappeln                                    ",54.6667,9.9333,18,"Schleswig-Holsteinisches Hügelland                                              ","Angeln                                                                          ","31.12.2005             ","Schleswig-Holstein                      ","eor"
"64",2522,"Karlsruhe                                  ",49.0382,8.3641,112,"Nördliches Oberrheintiefland                                                    ","Hardtebenen                                                                     ","01.11.2008             ","Baden-Württemberg                       ","eor"
"65",2559,"Kempten                                    ",47.7233,10.3348,705,"Voralpines Hügel-und Moorland                                                   ","Iller-Vorberge                                                                  ","30.06.2009             ","Bayern                                  ","eor"
"66",2561,"Kettenheim                                 ",49.7167,8.1167,198,"Nördliches Oberrheintiefland                                                    ","Alzeyer Hügelland                                                               ","31.12.2006             ","Rheinland-Pfalz                         ","eor"
"67",2597,"Kissingen, Bad                             ",50.2241,10.0792,282,"Odenwald, Spessart und Südrhön                                                  ","Südrhön                                                                         ","30.06.2011             ","Bayern                                  ","eor"
"68",2625,"Kleßen                                     ",52.7394,12.499,38,"Luchland                                                                        ","Westhavelländisches Ländchen                                                    ","31.12.2011             ","Brandenburg                             ","eor"
"69",2667,"Köln-Bonn                                  ",50.8646,7.1575,92,"Niederrheinische Bucht                                                          ","Schlebusch-Wahner Heide                                                         ","                       ","Nordrhein-Westfalen                     ","eor"
"70",2712,"Konstanz                                   ",47.6774,9.1901,443,"Voralpines Hügel-und Moorland                                                   ","Bodenseebecken                                                                  ","                       ","Baden-Württemberg                       ","eor"
"71",2878,"Lauchstädt, Bad                            ",51.3912,11.8785,119,"Mitteldeutsches Schwarzerdegebiet                                               ","Östliches Harzvorland                                                           ","30.04.2007             ","Sachsen-Anhalt                          ","eor"
"72",2895,"Lauterhofen-Trautmannshofen                ",49.3442,11.5664,585,"Fränkische Alb (Frankenalb)                                                     ","Mittlere Frankenalb                                                             ","                       ","Bayern                                  ","eor"
"73",2925,"Leinefelde                                 ",51.3933,10.3123,356,"Weser-Leinebergland                                                             ","Unteres Eichsfeld                                                               ","31.12.1993             ","Thüringen                               ","eor"
"74",2928,"Leipzig-Holzhausen                         ",51.3151,12.4462,138,"Sächsisches Hügelland (einschließlich Leipziger Land)                           ","Leipziger Land                                                                  ","                       ","Sachsen                                 ","eor"
"75",2932,"Leipzig/Halle                              ",51.4348,12.2396,131,"Sächsisches Hügelland (einschließlich Leipziger Land)                           ","Leipziger Land                                                                  ","                       ","Sachsen                                 ","eor"
"76",2947,"Lennestadt-Theten                          ",51.1334,8.0352,286,"Bergisch-Sauerländisches Gebirge                                                ","Hochsauerland (Rothaargebirge)                                                  ","31.12.2007             ","Nordrhein-Westfalen                     ","eor"
"77",2985,"Lichtenhain-Mittelndorf                    ",50.9383,14.2093,321,"Oberlausitz                                                                     ","Westlausitzer Vorberge                                                          ","31.12.2005             ","Sachsen                                 ","eor"
"78",2995,"Liebenwalde                                ",52.8719,13.3927,42,"Luchland                                                                        ","Zehdenick-Spandauer Havelniederung                                              ","31.12.2011             ","Brandenburg                             ","eor"
"79",2997,"Lieberose                                  ",51.9865,14.3034,47,"Ostbrandenburgisches Heide- und Seengebiet                                      ","Lieberoser Heide und Schlaubegebiet                                             ","                       ","Brandenburg                             ","eor"
"80",3015,"Lindenberg                                 ",52.2085,14.118,98,"Ostbrandenburgisches Heide- und Seengebiet                                      ","Beeskower Platte                                                                ","                       ","Brandenburg                             ","eor"
"81",3023,"Lingen                                     ",52.5181,7.3081,22,"Dümmer-Geestniederung                                                           ","Lingener Land                                                                   ","31.12.2014             ","Niedersachsen                           ","eor"
"82",3028,"Lippspringe, Bad                           ",51.7855,8.8388,157,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","                       ","Nordrhein-Westfalen                     ","eor"
"83",3032,"List auf Sylt                              ",55.011,8.4125,26,"Schleswig-Holsteinische Marschen (und Nordseeinseln)                            ","Nordfriesische Geestinseln                                                      ","30.09.2008             ","Schleswig-Holstein                      ","eor"
"84",3098,"Lüdenscheid                                ",51.2452,7.6425,387,"Bergisch-Sauerländisches Gebirge                                                ","Westsauerländer Oberland                                                        ","01.04.2010             ","Nordrhein-Westfalen                     ","eor"
"85",3126,"Magdeburg                                  ",52.1029,11.5826,76,"Elbe-Mulde-Tiefland                                                             ","Elbe-Elster-Tiefland                                                            ","                       ","Sachsen-Anhalt                          ","eor"
"86",3158,"Manschnow                                  ",52.5468,14.5452,12,"Odertal                                                                         ","Oderbruch (mit Frankfurter Odertal)                                             ","31.12.2007             ","Brandenburg                             ","eor"
"87",3167,"Marienberg, Bad                            ",50.662,7.9602,547,"Westerwald                                                                      ","Hoher Westerwald                                                                ","30.06.2011             ","Rheinland-Pfalz                         ","eor"
"88",3196,"Marnitz                                    ",53.3223,11.9319,81,"Nordbrandenburgisches Platten- und Hügelland                                    ","Ruhner Berge                                                                    ","                       ","Mecklenburg-Vorpommern                  ","eor"
"89",3213,"Mechelroda                                 ",50.911,11.3794,350,"Thüringer Becken und Randplatten Nrg 47                                         ","Ilm-Saale- und Ohrdrufer Platte                                                 ","                       ","Thüringen                               ","eor"
"90",3231,"Meiningen                                  ",50.5612,10.3771,450,"Mainfränkische Platten                                                          ","Werra-Gäuplatten                                                                ","                       ","Thüringen                               ","eor"
"91",3280,"Meyenburg                                  ",53.3079,12.294,98,"Nordbrandenburgisches Platten- und Hügelland                                    ","Parchim-Meyenburger Sandflächen                                                 ","                       ","Brandenburg                             ","eor"
"92",3287,"Michelstadt-Vielbrunn                      ",49.7176,9.0997,453,"Odenwald, Spessart und Südrhön                                                  ","Sandsteinodenwald                                                               ","30.11.2011             ","Hessen                                  ","eor"
"93",3302,"Erfurt-Mittelhausen                        ",51.0418,11.0062,165,"Thüringer Becken und Randplatten Nrg 48                                         ","Thüringer Becken                                                                ","                       ","Thüringen                               ","eor"
"94",3314,"Möckern                                    ",52.1458,11.9563,62,"Fläming                                                                         ","Zerbster Land (mit Leitzkauer Höhen)                                            ","                       ","Sachsen-Anhalt                          ","eor"
"95",3347,"Moringen-Fredelsloh                        ",51.7384,9.7899,271,"Weser-Leinebergland                                                             ","Sollingvorland                                                                  ","31.12.2006             ","Niedersachsen                           ","eor"
"96",3366,"Mühldorf                                   ",48.2791,12.5024,406,"Isar-Inn-Schotterplatten                                                        ","Unteres Inntal                                                                  ","31.05.2008             ","Bayern                                  ","eor"
"97",3437,"Großenhain-Stroga                          ",51.3437,13.5355,110,"Sächsisches Hügelland (einschließlich Leipziger Land)                           ","Großenhainer Pflege                                                             ","                       ","Sachsen                                 ","eor"
"98",3478,"Neubrandenburg                             ",53.5468,13.1914,81,"Rückland der Mecklenburgischen Seenplatte                                       ","Oberes Tollensegebiet (mit Tollensebecken)                                      ","17.08.2005             ","Mecklenburg-Vorpommern                  ","eor"
"99",3487,"Neudorf                                    ",51.607,11.1183,425,"Harz                                                                            ","Unterharz                                                                       ","31.12.2006             ","Sachsen-Anhalt                          ","eor"
"100",3491,"Judenbach-Neuenbau                         ",50.4419,11.2411,738,"Thüringisch-Fränkisches Mittelgebirge                                           ","Thüringer Schiefergebirge                                                       ","31.12.2006             ","Thüringen                               ","eor"
"101",3513,"Neuhaus am Rennweg                         ",50.5002,11.1344,845,"Thüringisch-Fränkisches Mittelgebirge                                           ","Thüringer Wald                                                                  ","                       ","Thüringen                               ","eor"
"102",3552,"Neuruppin                                  ",52.9037,12.8072,38,"Nordbrandenburgisches Platten- und Hügelland                                    ","Ruppiner Platte                                                                 ","31.12.2008             ","Brandenburg                             ","eor"
"103",3631,"Norderney                                  ",53.7123,7.1519,11,"Ems-Weser-Marsch                                                                ","Ostfriesische Inseln und Watten                                                 ","31.12.1970             ","Niedersachsen                           ","eor"
"104",3637,"Nordhausen-Salza                           ",51.5158,10.7739,190,"Thüringer Becken und Randplatten Nrg 48                                         ","Nordthüringer Hügelland                                                         ","31.12.2006             ","Thüringen                               ","eor"
"105",3660,"Nürburg-Barweiler                          ",50.3601,6.8697,485,"Osteifel                                                                        ","Östliche Hocheifel                                                              ","                       ","Rheinland-Pfalz                         ","eor"
"106",3684,"Oberbösa                                   ",51.2873,11.0183,240,"Thüringer Becken und Randplatten Nrg 48                                         ","Ringgau, Hainich, Obereichsfeld und Dün-Hainleite                               ","                       ","Thüringen                               ","eor"
"107",3730,"Oberstdorf                                 ",47.3986,10.276,806,"Nördliche Kalkhochalpen                                                         ","Oberstdorfer Becken                                                             ","                       ","Bayern                                  ","eor"
"108",3750,"Ochsenhausen                               ",48.0579,9.9479,620,"Donau-Iller-Lech-Platten                                                        ","Riss-Aitrach-Platten                                                            ","31.12.2014             ","Baden-Württemberg                       ","eor"
"109",3761,"Öhringen                                   ",49.207,9.5175,276,"Gäuplatten im Neckar- und Tauberland                                            ","Hohenloher und Haller Ebene                                                     ","31.12.2013             ","Baden-Württemberg                       ","eor"
"110",3791,"Oldenburg                                  ",53.1763,8.1824,11,"Ems-Weser-Marsch                                                                ","Wesermarschen                                                                   ","31.12.2009             ","Niedersachsen                           ","eor"
"111",3811,"Oschatz                                    ",51.296,13.0928,150,"Sächsisches Hügelland (einschließlich Leipziger Land)                           ","Oschatzer Hügelland                                                             ","30.08.2008             ","Sachsen                                 ","eor"
"112",3815,"Osnabrück                                  ",52.2553,8.0534,95,"Unteres Weserbergland                                                           ","Osnabrücker Hügelland                                                           ","30.12.2001             ","Niedersachsen                           ","eor"
"113",3906,"Perleberg                                  ",53.0966,11.8593,40,"Nordbrandenburgisches Platten- und Hügelland                                    ","Perleberger Heide                                                               ","                       ","Brandenburg                             ","eor"
"114",3945,"Plau am See                                ",53.4585,12.2417,66,"Mecklenburgische Seenplatte                                                     ","Oberes Warnow-Elde-Gebiet                                                       ","                       ","Mecklenburg-Vorpommern                  ","eor"
"115",3987,"Potsdam                                    ",52.3813,13.0622,81,"Mittelbrandenburgische Platten und Niederungen                                  ","Beelitzer Heide                                                                 ","                       ","Brandenburg                             ","eor"
"116",4039,"Quickborn                                  ",53.7331,9.8776,13,"Schleswig-Holsteinische Geest                                                   ","Hamburger Ring                                                                  ","31.12.1995             ","Schleswig-Holstein                      ","eor"
"117",4079,"Rastenberg                                 ",51.1765,11.4183,200,"Thüringer Becken und Randplatten Nrg 48                                         ","Querfurter Platte und untere Unstrutplatten                                     ","                       ","Thüringen                               ","eor"
"118",4104,"Regensburg                                 ",49.0424,12.1021,365,"Unterbayerisches Hügelland                                                      ","Dungau                                                                          ","31.12.2012             ","Bayern                                  ","eor"
"119",4177,"Rheinstetten                               ",48.9726,8.3302,116,"Nördliches Oberrheintiefland                                                    ","Hardtebenen                                                                     ","                       ","Baden-Württemberg                       ","eor"
"120",4184,"Ribnitz-Damgarten                          ",54.2637,12.472,7,"Mecklenburgisch-Vorpommersches Küstengebiet                                     ","Nordmecklenburgisches Boddenland                                                ","                       ","Mecklenburg-Vorpommern                  ","eor"
"121",4271,"Rostock-Warnemünde                         ",54.1802,12.0805,4,"Mecklenburgisch-Vorpommersches Küstengebiet                                     ","Flachwelliges unteres Warnowgebiet                                              ","                       ","Mecklenburg-Vorpommern                  ","eor"
"122",4317,"Ruhland                                    ",51.4543,13.8629,98,"Oberlausitzer Heideland                                                         ","Königsbrück-Ruhlander Heiden                                                    ","31.12.2007             ","Brandenburg                             ","eor"
"123",4332,"Saalfeld                                   ",50.6563,11.3894,235,"Thüringer Becken und Randplatten Nrg 47                                         ","Mittleres Saaletal                                                              ","                       ","Thüringen                               ","eor"
"124",4372,"Salzungen, Bad                             ",50.8063,10.2294,268,"Osthessisches Bergland                                                          ","Unteres Werratal                                                                ","                       ","Thüringen                               ","eor"
"125",4393,"Sankt Peter-Ording                         ",54.3279,8.603,5,"Schleswig-Holsteinische Marschen (und Nordseeinseln)                            ","Eiderstedter Marsch                                                             ","                       ","Schleswig-Holstein                      ","eor"
"126",4466,"Schleswig                                  ",54.5275,9.5486,43,"Schleswig-Holsteinisches Hügelland                                              ","Angeln                                                                          ","                       ","Schleswig-Holstein                      ","eor"
"127",4501,"Schmücke                                   ",50.6546,10.7693,937,"Thüringisch-Fränkisches Mittelgebirge                                           ","Thüringer Wald                                                                  ","12.09.2004             ","Thüringen                               ","eor"
"128",4625,"Schwerin                                   ",53.6425,11.3872,59,"Mecklenburgische Seenplatte                                                     ","Schweriner See-Gebiet                                                           ","                       ","Mecklenburg-Vorpommern                  ","eor"
"129",4642,"Seehausen                                  ",52.8911,11.7297,21,"Elbtalniederung                                                                 ","Märkische Elbtalniederung                                                       ","                       ","Sachsen-Anhalt                          ","eor"
"130",4752,"Sonneberg-Neufang                          ",50.3746,11.1828,626,"Thüringisch-Fränkisches Mittelgebirge                                           ","Thüringer Wald                                                                  ","01.07.2008             ","Thüringen                               ","eor"
"131",4768,"Spahl                                      ",50.6574,9.9135,380,"Osthessisches Bergland                                                          ","Unteres Werratal                                                                ","30.12.2005             ","Thüringen                               ","eor"
"132",4887,"Stötten                                    ",48.6657,9.8646,734,"Schwäbische Alb (Schwabenalb)                                                   ","Mittlere Kuppenalb                                                              ","                       ","Baden-Württemberg                       ","eor"
"133",4911,"Straubing                                  ",48.8275,12.5598,350,"Unterbayerisches Hügelland                                                      ","Dungau                                                                          ","30.09.2009             ","Bayern                                  ","eor"
"134",4933,"Stuttgart-Hohenheim                        ",48.7137,9.2092,401,"Schwäbisches Keuper-Lias-Land                                                   ","Filder                                                                          ","                       ","Baden-Württemberg                       ","eor"
"135",4974,"Tambach-Dietharz (Forsthaus)               ",50.8167,10.5833,544,"Thüringisch-Fränkisches Mittelgebirge                                           ","Thüringer Wald                                                                  ","31.12.1993             ","Thüringen                               ","eor"
"136",4983,"Tannroda                                   ",50.8619,11.2453,295,"Thüringer Becken und Randplatten Nrg 47                                         ","Ilm-Saale- und Ohrdrufer Platte                                                 ","31.12.2012             ","Thüringen                               ","eor"
"137",5082,"Trebendorf                                 ",51.527,14.5578,143,"Lausitzer Becken- und Heideland                                                 ","Lausitzer Grenzwall                                                             ","                       ","Sachsen                                 ","eor"
"138",5100,"Trier-Petrisberg                           ",49.7479,6.6582,265,"Moseltal                                                                        ","Mittleres Moseltal                                                              ","                       ","Rheinland-Pfalz                         ","eor"
"139",5103,"Trippstadt-Neuhof                          ",49.3544,7.7946,348,"Haardtgebirge                                                                   ","Haardt                                                                          ","31.12.1986             ","Rheinland-Pfalz                         ","eor"
"140",5142,"Ueckermünde                                ",53.7444,14.0697,1,"Oderhaffgebiet                                                                  ","Ueckermünder Heide                                                              ","                       ","Mecklenburg-Vorpommern                  ","eor"
"141",5157,"Ummanz-Lieschow                            ",54.4401,13.1785,2,"Mecklenburgisch-Vorpommersches Küstengebiet                                     ","Nordmecklenburgisches Boddenland                                                ","                       ","Mecklenburg-Vorpommern                  ","eor"
"142",5172,"Upgant-Schott                              ",53.5173,7.2606,1,"Ostfriesisch-Oldenburgische Geest                                               ","Ostfriesische Geest                                                             ","                       ","Niedersachsen                           ","eor"
